index,Date,sentence,p_neg,p_neu,p_pos,tone,label
0,2020-03-03,"The Manila Times President and CEO, Mr. Dante Ang II, my co-speakers and colleagues in the government service; distinguished speakers from the business community as well as The World Bank; ladies and gentlemen, good morning.",0.003242978,0.98602515,0.010731861,0.007488883,neutral
0,2020-03-03,It is a pleasure to be joining today's Business Forum to share the BSP's views on the macroeconomic developments and prospects for the Philippine economy at a time when the domestic economy is seeing both low inflation and robust economic growth.,0.002221514,0.30288857,0.6948899,0.6926684,positive
0,2020-03-03,In line with the conference theme and given that the other economic team members are here - allow me to share my insights on the economy's outlook for the year from the perspective of a central banker.,0.0028321836,0.98143816,0.015729748,0.012897564,neutral
0,2020-03-03,"High and volatile inflation is undesirable because it leads to slower real economic growth and lower social welfare for most Filipinos, especially the poor.",0.9755096,0.01703738,0.007453064,-0.9680565,negative
0,2020-03-03,"Until recently, the Philippines is characterized as high inflation and low growth.",0.9552971,0.033360288,0.011342582,-0.9439545,negative
0,2020-03-03,"In 2002, onward this trend was reversed.",0.005125367,0.7666241,0.22825056,0.22312519,neutral
0,2020-03-03,This development happened when BSP adopted the inflation targeting framework.,0.0020218655,0.7739737,0.22400437,0.22198251,neutral
0,2020-03-03,"In recent years, we are seeing the generally sustained positive alignment of strong growth and low inflation which is what is needed to ensure that the economy can continue growing without having to worry about overheating.",0.002391029,0.017459119,0.9801499,0.9777589,positive
0,2020-03-03,"The BSP, being the country's central monetary policy authority with the core mandate of promoting price stability, is committed to ensure that this non-inflation growth is sustained.",0.0023364874,0.030066555,0.96759695,0.96526045,positive
0,2020-03-03,"Manageable inflation along with expectations of within-target inflation over the policy horizon is expected to boost consumption demand, which has been consistently one of the key growth drivers of the domestic economy.",0.004055886,0.006839695,0.9891044,0.98504853,positive
0,2020-03-03,"In 2019, headline inflation eased significantly, averaging 2.5 percent, lower than the 5.2 percent inflation in 2018.",0.005956089,0.009119751,0.9849242,0.9789681,positive
0,2020-03-03,The deceleration was largely driven by slower price increases of rice and other selected food and energy items.,0.067262195,0.8555467,0.07719108,0.009928882,neutral
0,2020-03-03,Food inflation dropped to 1.8 percent year-on-year in 2019 from 6.6 percent in 2018 due to improving supply conditions.,0.014280165,0.015392653,0.97032726,0.9560471,positive
0,2020-03-03,Rice prices declined in 2019 largely due to the Rice Tariffication Law and the continued arrival of rice imports.,0.59508026,0.15658519,0.24833454,-0.34674573,negative
0,2020-03-03,"At the same time, inflation rates for meat, fish, oils, and fats, vegetables, as well as sweeteners posted slower price increases during the year.",0.03598499,0.10563026,0.8583848,0.8223998,positive
0,2020-03-03,"Likewise, non-food inflation also fell in 2019 due largely to easing energy prices.",0.025789082,0.043522127,0.9306888,0.9048997,positive
0,2020-03-03,The pursuit of prudent and well-calibrated monetary policy by the BSP continues to support favorable inflation dynamics in the country.,0.002858104,0.010328649,0.9868132,0.9839551,positive
