speech_id,date,title,sentence_ix,text,p_neg,p_neu,p_pos,tok_len,tone,label
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,0,"The Manila Times President and CEO, Mr. Dante Ang II, my co-speakers and colleagues in the government service; distinguished speakers from the business community as well as The World Bank; ladies and gentlemen, good morning.",0.57250327,0.01356047,0.41393623,46,-0.15856704,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,1,It is a pleasure to be joining today's Business Forum to share the BSP's views on the macroeconomic developments and prospects for the Philippine economy at a time when the domestic economy is seeing both low inflation and robust economic growth.,0.6213175,0.012619899,0.36606264,50,-0.25525486,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,2,In line with the conference theme and given that the other economic team members are here - allow me to share my insights on the economy's outlook for the year from the perspective of a central banker.,0.16641612,0.0110017145,0.82258224,42,0.65616614,positive
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,3,"High and volatile inflation is undesirable because it leads to slower real economic growth and lower social welfare for most Filipinos, especially the poor.",0.009169599,0.9571993,0.033631142,32,0.024461543,neutral
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,4,"Until recently, the Philippines is characterized as high inflation and low growth.",0.022352396,0.8719851,0.10566255,16,0.08331015,neutral
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,5,"In 2002, onward this trend was reversed.",0.08539071,0.07343818,0.8411711,11,0.7557804,positive
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,6,This development happened when BSP adopted the inflation targeting framework.,0.1092354,0.012529466,0.87823516,14,0.76899976,positive
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,7,"In recent years, we are seeing the generally sustained positive alignment of strong growth and low inflation which is what is needed to ensure that the economy can continue growing without having to worry about overheating.",0.93773335,0.01708513,0.04518157,42,-0.8925518,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,8,"The BSP, being the country's central monetary policy authority with the core mandate of promoting price stability, is committed to ensure that this non-inflation growth is sustained.",0.7437449,0.009679885,0.24657525,37,-0.49716967,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,9,"Manageable inflation along with expectations of within-target inflation over the policy horizon is expected to boost consumption demand, which has been consistently one of the key growth drivers of the domestic economy.",0.9542225,0.015519712,0.030257829,39,-0.9239647,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,10,"In 2019, headline inflation eased significantly, averaging 2.5 percent, lower than the 5.2 percent inflation in 2018.",0.2266112,0.74911183,0.024276955,27,-0.20233424,neutral
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,11,The deceleration was largely driven by slower price increases of rice and other selected food and energy items.,0.05117326,0.8894424,0.059384353,23,0.008211095,neutral
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,12,Food inflation dropped to 1.8 percent year-on-year in 2019 from 6.6 percent in 2018 due to improving supply conditions.,0.0108339405,0.97325474,0.01591139,30,0.0050774487,neutral
