index,Date,sentence,p_neg,p_neu,p_pos,tone,label
0,2020-03-03,"The Manila Times President and CEO, Mr. Dante Ang II, my co-speakers and colleagues in the government service; distinguished speakers from the business community as well as The World Bank; ladies and gentlemen, good morning.",0.008655514,0.9718274,0.019517034,0.010861521,neutral
0,2020-03-03,It is a pleasure to be joining today's Business Forum to share the BSP's views on the macroeconomic developments and prospects for the Philippine economy at a time when the domestic economy is seeing both low inflation and robust economic growth.,0.011958649,0.56197983,0.42606154,0.41410288,neutral
0,2020-03-03,In line with the conference theme and given that the other economic team members are here - allow me to share my insights on the economy's outlook for the year from the perspective of a central banker.,0.01133363,0.94500446,0.043661963,0.032328334,neutral
0,2020-03-03,"High and volatile inflation is undesirable because it leads to slower real economic growth and lower social welfare for most Filipinos, especially the poor.",0.8047074,0.13781437,0.057478234,-0.74722916,negative
0,2020-03-03,"Until recently, the Philippines is characterized as high inflation and low growth.",0.21247794,0.5190412,0.26848084,0.0560029,neutral
0,2020-03-03,"In 2002, onward this trend was reversed.",0.016207408,0.85918826,0.124604285,0.10839687,neutral
0,2020-03-03,This development happened when BSP adopted the inflation targeting framework.,0.009844807,0.721208,0.26894724,0.25910243,neutral
0,2020-03-03,"In recent years, we are seeing the generally sustained positive alignment of strong growth and low inflation which is what is needed to ensure that the economy can continue growing without having to worry about overheating.",0.010308072,0.30701187,0.6826801,0.672372,positive
0,2020-03-03,"The BSP, being the country's central monetary policy authority with the core mandate of promoting price stability, is committed to ensure that this non-inflation growth is sustained.",0.0062959893,0.31826136,0.6754427,0.6691467,positive
0,2020-03-03,"Manageable inflation along with expectations of within-target inflation over the policy horizon is expected to boost consumption demand, which has been consistently one of the key growth drivers of the domestic economy.",0.00668106,0.109173946,0.884145,0.87746394,positive
0,2020-03-03,"In 2019, headline inflation eased significantly, averaging 2.5 percent, lower than the 5.2 percent inflation in 2018.",0.0088722445,0.057291403,0.93383634,0.9249641,positive
0,2020-03-03,The deceleration was largely driven by slower price increases of rice and other selected food and energy items.,0.04429653,0.71577483,0.23992871,0.19563217,neutral
0,2020-03-03,Food inflation dropped to 1.8 percent year-on-year in 2019 from 6.6 percent in 2018 due to improving supply conditions.,0.010284638,0.044457715,0.94525766,0.934973,positive
0,2020-03-03,Rice prices declined in 2019 largely due to the Rice Tariffication Law and the continued arrival of rice imports.,0.018891899,0.08560985,0.8954983,0.8766064,positive
0,2020-03-03,"At the same time, inflation rates for meat, fish, oils, and fats, vegetables, as well as sweeteners posted slower price increases during the year.",0.06492551,0.14748192,0.7875926,0.7226671,positive
0,2020-03-03,"Likewise, non-food inflation also fell in 2019 due largely to easing energy prices.",0.029519219,0.058728874,0.9117519,0.8822327,positive
0,2020-03-03,The pursuit of prudent and well-calibrated monetary policy by the BSP continues to support favorable inflation dynamics in the country.,0.0054833298,0.20090811,0.7936086,0.7881253,positive
0,2020-03-03,"In 2019, as a pre-emptive move against the risks associated with lingering sluggish global growth, the Monetary Board (MB) decided to reduce the policy rate by 25 bps in May, August, and September 2019, respectively.",0.008542682,0.36178467,0.62967265,0.62113,positive
0,2020-03-03,"And in its most recent monetary policy stance meeting on 6 February 2020, the MB cut the policy rate by another 25bps.",0.0077814907,0.24752702,0.74469143,0.7369099,positive
0,2020-03-03,"The Board was of the view that a tame inflation environment, there is a room for a further preemptive reduction in the policy rate to support market confidence.",0.01915037,0.581285,0.39956462,0.38041425,neutral
0,2020-03-03,The MB noted the possible adverse impact of the spread of the 2019 novel coronavirus on global market sentiment as well as on domestic economic activity in the coming months.,0.6562512,0.2506871,0.093061805,-0.5631894,negative
0,2020-03-03,"Latest baseline forecasts indicate a target-consistent path of inflation for 2020 and 2021, with average inflation remaining within the target range of 3.0 percent ± 1.0 percentage point.",0.009040431,0.7052422,0.28571737,0.27667692,neutral
0,2020-03-03,The balance of risks to the inflation outlook continue to tilt slightly toward the downside in 2020 and in 2021.,0.116131365,0.6731929,0.21067573,0.094544366,neutral
0,2020-03-03,Forecasts by other institutions generally convey similar expectations.,0.017806608,0.8278912,0.15430224,0.13649563,neutral
0,2020-03-03,"Capital Economics forecasts 2.8 percent inflation for 2020; Oxford Economics, 2.9 percent; Asian Development Bank, 3.0 percent; and IMF, 2.6 percent.",0.01109789,0.9233878,0.06551424,0.054416347,neutral
0,2020-03-03,We have also seen continued improvement in the growth of both domestic liquidity and credit activities in line with the needs of the economy.,0.0042364122,0.07889893,0.91686463,0.91262823,positive
0,2020-03-03,"Latest data show that domestic liquidity (M3) expanded by 11.4 percent year-on-year to about ₱13.0 trillion in December 2019, faster than the 9.8-percent growth in November.",0.020225007,0.036802698,0.9429723,0.9227473,positive
0,2020-03-03,Demand for credit remained the principal driver of money supply growth.,0.037014473,0.45228884,0.5106967,0.47368222,positive
0,2020-03-03,"On the other hand, preliminary data show that outstanding loans of universal and commercial banks, net of reverse repurchase (RRP) placements with the BSP, grew by 10.9 percent in December, faster than the 10.1-percent expansion in the previous month.",0.04176813,0.078767695,0.87946415,0.837696,positive
0,2020-03-03,"Loans for production activities--which comprised 87.4 percent of banks' aggregate loan portfolio, net of RRPs--expanded at a rate of 9.1 percent in December, higher than the reported growth in November at 8.1 percent.",0.025559321,0.034466058,0.9399746,0.9144153,positive
0,2020-03-03,"These loans continued to be driven by lending to key sectors such as real estate activities; financial and insurance activities; electricity, gas, steam and air conditioning supply; construction; and information and communication.",0.010478291,0.57729316,0.41222858,0.4017503,neutral
0,2020-03-03,Loans for household consumption increased due to faster growth in credit card and salary-based consumption loans during the month.,0.014996241,0.07873544,0.9062683,0.89127207,positive
0,2020-03-03,The series of reduction in both policy rates and reserve requirement ratios of banks since last year are anticipated to support both credit conditions and overall economic activity moving forward.,0.0044982703,0.15327348,0.8422282,0.83772993,positive
0,2020-03-03,"Meanwhile, Philippine banks remain robust, well-capitalized, and sound.",0.009139074,0.1729873,0.81787366,0.8087346,positive
0,2020-03-03,"The banks' capital adequacy ratios, both on a solo and consolidated bases, continue to be well above the standards set by the Bank for International Settlements (BIS) of 8 percent, as well as the BSP""s standard of 10 percent.",0.0067849425,0.24885234,0.7443627,0.7375778,positive
0,2020-03-03,The quality of lending continues to improve.,0.006189796,0.13528496,0.8585252,0.8523354,positive
0,2020-03-03,The gross non-performing loans (GNPL) and non-performing assets (NPA) ratios of Philippine universal and commercial banks (UKBs) have been falling since the early 2000s.,0.17709838,0.30413157,0.5187701,0.3416717,positive
0,2020-03-03,"The sustained health and soundness of the country's financial sector have been supported by the continuing financial reform agenda of the BSP in the areas of banking supervision, financial inclusion, cybersecurity and technology risk management, anti-money laundering, counter-terrorist financing, and capital market development.",0.004835252,0.12447716,0.87068754,0.8658523,positive
